FID,OBJECTID,SHAPE_Leng,SHAPE_Area,Notes,FID_1,OBJECTID_1,CLASSIFICA,Shape_Ar_1,POLY_AREA,PERIMETER,PART_COUNT
67,100,20.53767835,22.69297067, ,4,6,2b,379045.123,3479219.136,43062.26407,13
68,14,5.620652111,1.550429761, ,0,0, ,0,0,0,0
69,15,10.94867613,7.816753422, ,0,0, ,0,0,0,0
70,16,18.88144488,21.25174123, ,0,0, ,0,0,0,0
71,17,11.77441047,8.142733767, ,0,0, ,0,0,0,0
72,18,8.647921054,4.925318409, ,0,0, ,0,0,0,0
73,19,20.64130535,13.69032042, ,0,0, ,0,0,0,0
74,20,11.80180356,9.394988711, ,0,0, ,0,0,0,0
75,21,17.57604573,16.26068051, ,0,0, ,0,0,0,0
76,22,17.5254029,15.68295287, ,0,0, ,0,0,0,0
77,23,19.59218392,21.15032005, ,0,0, ,0,0,0,0
78,24,11.37470808,8.746204192, ,0,0, ,0,0,0,0
79,25,5.117159889,1.813545256, ,0,0, ,0,0,0,0
80,27,28.34759245,44.44054075,"2017 imaging does not reach, but looks 2019",0,0, ,0,0,0,0
81,28,29.75295524,58.82135723,"one big slump,what is pipe",0,0, ,0,0,0,0
82,29,25.72578464,35.95682482,incredibly square and blocky slumps,0,0, ,0,0,0,0
83,30,8.741425438,5.258198609,river edge,0,0, ,0,0,0,0
84,31,5.190974538,1.81440002,at river edge,0,0, ,0,0,0,0
85,32,5.262697755,1.86108934,at river edge,0,0, ,0,0,0,0
86,33,4.721970008,1.395079466,at river edge,0,0, ,0,0,0,0
87,34,12.86192022,7.475317464,"at river edge, could be two",0,0, ,0,0,0,0
88,40,27.43490951,44.00954411, ,0,0, ,0,0,0,0
89,41,16.12624443,15.99537936,same linear structure as RH,0,0, ,0,0,0,0
90,42,8.110601409,4.157553866, ,0,0, ,0,0,0,0
91,57,6.814589369,3.183184879, ,0,0, ,0,0,0,0
92,93,7.99764507,4.01802698,at creek edge,0,0, ,0,0,0,0
93,94,6.466040323,2.51138872,at creek edge,0,0, ,0,0,0,0
94,95,6.254875625,2.182245363,"questionable, at creek edge",0,0, ,0,0,0,0
95,96,8.905772477,4.478605532,slump,0,0, ,0,0,0,0
96,97,10.82908221,8.074179078, ,0,0, ,0,0,0,0
97,99,0,0, ,0,0, ,0,0,0,0
