FID,OBJECTID,class,shape_area,perimeter,num_slides,norm_area,*100000
0,3,3b,3275260.425,17047.64262,231,7.05E-05,7.052874277
1,4,3c,751225.5912,18486.84349,48,6.39E-05,6.389558685
2,2,3a,1151723.172,11123.59807,42,3.65E-05,3.646709646
3,7,2c,4408542.435,32375.82843,124,2.81E-05,2.812721026
4,6,2b,3479219.136,43062.26407,166,4.77E-05,4.77118553
5,5,2a,368801.4304,9841.932476,29,7.86E-05,7.863310066
6,8,2d,367049.0139,17056.37809,4,1.09E-05,1.089772714
7,1,Qal,2145910.748,19989.28343,8,3.73E-06,0.372802084
,,TOTALAREA,15947731.95,,,,
