datetime,RainFall,cumulativeRain,datetime,PreEvent_CumSum_mm,
10/1/2018 12:15,0,0,10/1/2018 12:15,,
10/1/2018 12:30,0,0,10/1/2018 12:30,,
10/1/2018 12:45,0,0,10/1/2018 12:45,,
10/1/2018 13:00,0,0,10/1/2018 13:00,,
10/1/2018 13:15,0,0,10/1/2018 13:15,,
10/1/2018 13:30,0,0,10/1/2018 13:30,,
10/1/2018 13:45,0,0,10/1/2018 13:45,,
10/1/2018 14:00,0,0,10/1/2018 14:00,,
10/1/2018 14:15,0,0,10/1/2018 14:15,,
10/1/2018 14:30,0,0,10/1/2018 14:30,,
10/1/2018 14:45,0,0,10/1/2018 14:45,,
10/1/2018 15:00,0,0,10/1/2018 15:00,,
10/1/2018 15:15,0,0,10/1/2018 15:15,,
10/1/2018 15:30,0,0,10/1/2018 15:30,,
10/1/2018 15:45,0,0,10/1/2018 15:45,,
10/1/2018 16:00,0,0,10/1/2018 16:00,,
10/1/2018 16:15,0,0,10/1/2018 16:15,,
10/1/2018 16:30,0,0,10/1/2018 16:30,,
10/1/2018 16:45,0,0,10/1/2018 16:45,,
10/1/2018 17:00,0,0,10/1/2018 17:00,,
10/1/2018 17:15,0,0,10/1/2018 17:15,,
10/1/2018 17:30,0,0,10/1/2018 17:30,,
10/1/2018 17:45,0,0,10/1/2018 17:45,,
10/1/2018 18:00,0,0,10/1/2018 18:00,,
10/1/2018 18:15,0,0,10/1/2018 18:15,,
10/1/2018 18:30,0,0,10/1/2018 18:30,,
10/1/2018 18:45,0,0,10/1/2018 18:45,,
10/1/2018 19:00,0,0,10/1/2018 19:00,,
10/1/2018 19:15,0,0,10/1/2018 19:15,,
10/1/2018 19:30,0,0,10/1/2018 19:30,,
10/1/2018 19:45,0,0,10/1/2018 19:45,,
10/1/2018 20:00,0,0,10/1/2018 20:00,,
10/1/2018 20:15,0,0,10/1/2018 20:15,,
10/1/2018 20:30,0,0,10/1/2018 20:30,,
10/1/2018 20:45,0,0,10/1/2018 20:45,,
10/1/2018 21:00,0,0,10/1/2018 21:00,,
10/1/2018 21:15,0,0,10/1/2018 21:15,,
10/1/2018 21:30,0,0,10/1/2018 21:30,,
10/1/2018 21:45,0,0,10/1/2018 21:45,,
10/1/2018 22:00,0,0,10/1/2018 22:00,,
10/1/2018 22:15,0,0,10/1/2018 22:15,,
10/1/2018 22:30,0,0,10/1/2018 22:30,,
10/1/2018 22:45,0,0,10/1/2018 22:45,,
10/1/2018 23:00,0,0,10/1/2018 23:00,,
10/1/2018 23:15,0,0,10/1/2018 23:15,,
